AnswerId	PromptId	Score	AnswerText
LF.13b.384.1	LF_13b	partially_correct_incomplete	Earth material gets eroded and carried away.
LF.13b.393.1	LF_13b	partially_correct_incomplete	They are eroded by water, wind, and or ice.
LF.13b.405.1	LF_13b	irrelevant	They form into other solids water, lava, wind.
LF.13b.407.1	LF_13b	partially_correct_incomplete	They just move around.
LF.13b.408.1	LF_13b	irrelevant	They all settle to the bottom.
LF.13b.409.1	LF_13b	irrelevant	They make canyons and erode away.
LF.13b.410.1	LF_13b	partially_correct_incomplete	They get carried away by wind, ice, or water.
LF.13b.417.1	LF_13b	partially_correct_incomplete	During erosion earth materials are worn away by water wind or ice.
LF.13b.418.1	LF_13b	irrelevant	They get eroded away.
LF.13b.435.1	LF_13b	partially_correct_incomplete	Earth materials start to weather away from wind, water, and ice. When they are being eroded.
LF.13b.436.1	LF_13b	partially_correct_incomplete	Earth materials are worn away by I see ant other stuff.
LF.13b.443.1	LF_13b	irrelevant	The earth materials move land.
LF.13b.457.1	LF_13b	irrelevant	I turn into a stream.
LF.13b.468.1	LF_13b	partially_correct_incomplete	The earth materials wears away.
LF.13b.469.1	LF_13b	irrelevant	But it will be you and but it was be because.
LF.13b.478.1	LF_13b	irrelevant	The earth material will get smaller and make new land.
LF.13b.501.1	LF_13b	irrelevant	Earth material forms a canyon.
LF.13b.508.1	LF_13b	partially_correct_incomplete	All of the materials get washed away and the make a way for the water.
LF.13b.512.1	LF_13b	partially_correct_incomplete	They get worn away to the deposition.
LF.13b.516.1	LF_13b	irrelevant	The delta starts to get bigger.
LF.13b.661.1	LF_13b	partially_correct_incomplete	The materials are worn away.
LF.13b.674.1	LF_13b	partially_correct_incomplete	They slowly break down to where you cannot see them.
LF.13b.684.1	LF_13b	partially_correct_incomplete	Earth materials during erosion wear down until they are smooth.
LF.13b.704.1	LF_13b	partially_correct_incomplete	It breaks down the materials.
LF.13b.737.1	LF_13b	partially_correct_incomplete	Earth materials get taken away from river banks, beaches, and island.
LF.13b.738.1	LF_13b	partially_correct_incomplete	The materials get scattered around.
LF.13b.740.1	LF_13b	partially_correct_incomplete	During erosion earth material are being moved by wind, water, or ice.
LF.13b.751.1	LF_13b	partially_correct_incomplete	Earth materials just simply change shape by smoothing out.
LF.13b.752.1	LF_13b	1.0	During erosion earth materials break away and flow away.
LF.13b.753.1	LF_13b	partially_correct_incomplete	They get smashed and grinded into new shapes, sizes or even little pieces you can barely see.
LF.13b.773.1	LF_13b	irrelevant	Erosion is the process of moving sediment from one place to another.
LF.13b.779.1	LF_13b	partially_correct_incomplete	They are picked up by wind or water then they are dropped.
LF.13b.805.1	LF_13b	partially_correct_incomplete	Earth materials are grinded down and worn away during erosion.
LF.13b.808.1	LF_13b	partially_correct_incomplete	The earth materials gets broken down.
LF.13b.822.1	LF_13b	partially_correct_incomplete	Materials are picked up by the water and carried away. The faster the water, the more picked up. Deposition always happens after erosion.
LF.13b.836.1	LF_13b	partially_correct_incomplete	They get worn down.
LF.13b.848.1	LF_13b	irrelevant	The materials rise and disappear.
LF.13b.855.1	LF_13b	partially_correct_incomplete	They are picked up or eroded by water.
LF.13b.906.1	LF_13b	partially_correct_incomplete	The thing that happens during erosion is earth materials are worn away.
LF.13b.918.1	LF_13b	partially_correct_incomplete	What happens earth materials during erosion is the materials are carried away form water that tables 9 to another place.
