AnswerId	PromptId	Score	AnswerText
ST.25b2.384.1	ST_25b2	partially_correct_incomplete	Helps give the plant food.
ST.25b2.385.1	ST_25b2	partially_correct_incomplete	Store food.
ST.25b2.390.1	ST_25b2	partially_correct_incomplete	Saves food.
ST.25b2.392.1	ST_25b2	1.0	Stores food for the seedling until it grows leaves.
ST.25b2.395.1	ST_25b2	1.0	Gives the seed food.
ST.25b2.400.1	ST_25b2	partially_correct_incomplete	To store the food, nutrients.
ST.25b2.422.1	ST_25b2	irrelevant	The cotyledon or the seed is the seed coat came off.
ST.25b2.451.1	ST_25b2	partially_correct_incomplete	The cotyledon is the food storage.
ST.25b2.452.1	ST_25b2	irrelevant	Is the seed.
ST.25b2.453.1	ST_25b2	1.0	Feeds the seed.
ST.25b2.455.1	ST_25b2	1.0	Stores food for it until it grows into a plant.
ST.25b2.459.1	ST_25b2	partially_correct_incomplete	Provide food.
ST.25b2.463.1	ST_25b2	partially_correct_incomplete	Stores food.
ST.25b2.472.1	ST_25b2	1.0	To provide food when germination.
ST.25b2.487.1	ST_25b2	1.0	It gather up food for the seed.
ST.25b2.493.1	ST_25b2	partially_correct_incomplete	The cotyledon stores the food.
ST.25b2.496.1	ST_25b2	partially_correct_incomplete	The cotyledon is a little plant in the bean that store food.
ST.25b2.497.1	ST_25b2	irrelevant	Help it grow.
ST.25b2.501.1	ST_25b2	1.0	Something that feeds the seed.
ST.25b2.502.1	ST_25b2	irrelevant	The cotyledon is the inside.
ST.25b2.503.1	ST_25b2	irrelevant	The cotyledon splits opened.
ST.25b2.533.1	ST_25b2	partially_correct_incomplete	Stores food.
ST.25b2.562.1	ST_25b2	1.0	The cotyledon gives food to the plant until it grows roots.
ST.25b2.570.1	ST_25b2	irrelevant	It folds of when it is done.
ST.25b2.591.1	ST_25b2	partially_correct_incomplete	Food supply.
ST.25b2.592.1	ST_25b2	partially_correct_incomplete	A cotyledon in the food supply.
ST.25b2.595.1	ST_25b2	1.0	It is the food supply until the plant grows leaves.
ST.25b2.601.1	ST_25b2	partially_correct_incomplete	Food supply for the plant.
ST.25b2.603.1	ST_25b2	1.0	It stows the food for the young plant.
ST.25b2.607.1	ST_25b2	1.0	The cotyledon supplies food for the seed until it can supply its own food.
ST.25b2.609.1	ST_25b2	irrelevant	Holds seed coat.
ST.25b2.610.1	ST_25b2	partially_correct_incomplete	Food supply.
ST.25b2.628.1	ST_25b2	partially_correct_incomplete	Give it nutrients.
ST.25b2.632.1	ST_25b2	1.0	Stores food for the plant in until it can make on its own.
ST.25b2.636.1	ST_25b2	irrelevant	The outside of the seeds.
ST.25b2.640.1	ST_25b2	partially_correct_incomplete	Holds the food.
ST.25b2.383.1	ST_25b2	1.0	To give food to the baby plant.
ST.25b2.462.1	ST_25b2	1.0	It holds food for the plant before the roots grow.
ST.25b2.471.1	ST_25b2	partially_correct_incomplete	Food storage.
ST.25b2.576.1	ST_25b2	partially_correct_incomplete	Store food.
