id,question,question_text,answer,text_clean,label
deepseek_LP_15c_44,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The relationship between effort and load distance becomes less straightforward if there's resistance from air (drag) or a non-uniform surface because these factors can change how much work must be done per unit distance moved.,The relationship between effort and load distance becomes less straightforward if there's resistance from air (drag) or a non-uniform surface because these factors can change how much work must be done per unit distance moved,1.0
deepseek_LP_15c_238,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- I think it's all about physics magic.,I think it's all about physics magic,non_domain
deepseek_LP_15c_236,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""Is there any shortcut or trick for remembering this?""",Is there any shortcut or trick for remembering this?,non_domain
deepseek_LP_15c_209,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"10. Can you show us with examples instead of guessing the relationship? 1. ""I'm not sure, can you explain it?""","Can you show us with examples instead of guessing the relationship? 1. ""I'm not sure, can you explain it?",non_domain
deepseek_LP_15c_1,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- **Effort Variability** - Greater effort is needed for heavier loads closer to the fulcrum because of leverage.,Effort Variability** - Greater effort is needed for heavier loads closer to the fulcrum because of leverage,1.0
deepseek_LP_15c_146,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Lifting a heavy object requires more effort than lifting a light one at any distance from the fulcrum.,Lifting a heavy object requires more effort than lifting a light one at any distance from the fulcrum,contradictory
deepseek_LP_15c_16,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- A longer lever arm makes it easier to lift heavier objects with the same amount of energy input.,A longer lever arm makes it easier to lift heavier objects with the same amount of energy input,1.0
deepseek_LP_15c_150,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""The amount of chocolate chips determines how much I like cookies.""",The amount of chocolate chips determines how much I like cookies.,irrelevant
deepseek_LP_15c_79,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- If a load is heavy, you need less distance from the fulcrum for balance. (Clarifies effect of weight, not directly related to amount of effort required)","If a load is heavy, you need less distance from the fulcrum for balance. (Clarifies effect of weight, not directly related to amount of effort required)",partially_correct_incomplete
deepseek_LP_15c_192,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Temperature influences this because cold objects are easier to move while hot ones stick making it harder to shift their positions consistently over distance from the fulcrum point often leading towards fatigue sooner compared with cooler counterparts thus indicating increased effort needed per unit of movement or load displacement albeit at a slower rate initially before reaching equilibrium state under consistent external conditions only possible in well-insulated environments where temperature differences are minimized significantly during all times including throughout night hours thereby offering constant favorable operational parameters for any mechanical system involving human-load lifting activity if one takes this physical context into consideration while assessing effort against distance from fulcrum point dynamics on a real life basis thus indicating that indeed there is an influence albeit subtle here.,Temperature influences this because cold objects are easier to move while hot ones stick making it harder to shift their positions consistently over distance from the fulcrum point often leading towards fatigue sooner compared with cooler counterparts thus indicating increased effort needed per unit of movement or load displacement albeit at a slower rate initially before reaching equilibrium state under consistent external conditions only possible in well-insulated environments where temperature differences are minimized significantly during all times including throughout night hours thereby offering constant favorable operational parameters for any mechanical system involving human-load lifting activity if one takes this physical context into consideration while assessing effort against distance from fulcrum point dynamics on a real life basis thus indicating that indeed there is an influence albeit subtle here,irrelevant
deepseek_LP_15c_129,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Higher loads require more effort regardless of their proximity to the fulcrum.,Higher loads require more effort regardless of their proximity to the fulcrum,contradictory
deepseek_LP_15c_161,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Your height affects how much you can lift but doesn't influence this specific principle.,Your height affects how much you can lift but doesn't influence this specific principle,irrelevant
deepseek_LP_15c_36,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"8. The relationship between how much effort is required to lift a load compared to its distance from the fulcrum can be summarized by Newton’s second law of motion: F=ma, where F stands for force exerted on an object while m represents mass and a signifies acceleration due to gravitational pull or other factors affecting movement upwards.","The relationship between how much effort is required to lift a load compared to its distance from the fulcrum can be summarized by Newton’s second law of motion: F=ma, where F stands for force exerted on an object while m represents mass and a signifies acceleration due to gravitational pull or other factors affecting movement upwards",1.0
deepseek_LP_15c_10,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The closer the load is to the fulcrum, the less effort required to lift it.","The closer the load is to the fulcrum, the less effort required to lift it",1.0
deepseek_LP_15c_135,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Greater distance requires less effort to lift a heavy object because the lever principle works in reverse. ,Greater distance requires less effort to lift a heavy object because the lever principle works in reverse,contradictory
deepseek_LP_15c_212,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"3. ""Wow, that seems like a tough concept to understand.""","Wow, that seems like a tough concept to understand.",non_domain
deepseek_LP_15c_66,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- Leverage is primarily about balancing forces and distance; the relationship between force required at different distances from fulcrums isn't explicitly clear without further context or details, which can make interpretation difficult for young learners.","Leverage is primarily about balancing forces and distance; the relationship between force required at different distances from fulcrums isn't explicitly clear without further context or details, which can make interpretation difficult for young learners",partially_correct_incomplete
