id,question,question_text,answer,text_clean,label
deepseek_VB_15a_34,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- Altitude from which they threw the ball,Altitude from which they threw the ball,1.0
deepseek_VB_15a_227,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",10. I wish I had seen them all throw the ball! - They controlled how hard they threw.  ,I wish I had seen them all throw the ball! - They controlled how hard they threw,non_domain
deepseek_VB_15a_95,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","- Environmental factors like wind conditions, surface type, and distance markers on the ground.","Environmental factors like wind conditions, surface type, and distance markers on the ground",partially_correct_incomplete
deepseek_VB_15a_23,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- How much pressure they applied on the ball when preparing to release it during the throw.,How much pressure they applied on the ball when preparing to release it during the throw,1.0
deepseek_VB_15a_157,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",8. The length of their socks.,The length of their socks,irrelevant
deepseek_VB_15a_85,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- Each girl's physical fitness level contributed differently to the outcome.  ,Each girl's physical fitness level contributed differently to the outcome,partially_correct_incomplete
deepseek_VB_15a_231,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- How far away the line was influenced by personal preference.  ,How far away the line was influenced by personal preference,non_domain
deepseek_VB_15a_230,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- The ground's surface affected ball distance differently for each girl.  ,The ground's surface affected ball distance differently for each girl,non_domain
deepseek_VB_15a_119,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","* Unspecified conditions - The statement implies there were unspecified conditions affecting who could throw a ball farthest, which might include weather, surface type, or other environmental elements that weren’t mentioned in detail.","Unspecified conditions - The statement implies there were unspecified conditions affecting who could throw a ball farthest, which might include weather, surface type, or other environmental elements that weren’t mentioned in detail",contradictory
deepseek_VB_15a_166,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","* The type of ball used (e.g., size, weight)","The type of ball used (e.g., size, weight)",irrelevant
deepseek_VB_15a_74,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- Height from which ball was thrown,Height from which ball was thrown,partially_correct_incomplete
