id,question,question_text,answer,text_clean,label
deepseek_EM_21a_59,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- **Wearability Test**: Georgia could wear one over the other as a makeshift shoe; if it’s uncomfortable, that might suggest higher hardness due to its resistance to deformation. - Rub both minerals against each other to see if one scratches it.","Wearability Test**: Georgia could wear one over the other as a makeshift shoe; if it’s uncomfortable, that might suggest higher hardness due to its resistance to deformation. - Rub both minerals against each other to see if one scratches it",partially_correct_incomplete
deepseek_EM_21a_157,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- She should taste the minerals to see if they have any specific flavor or effect on her tongue when exposed to them. (Tasting is not relevant; hardness assessment requires tactile methods, not sense of taste.)","She should taste the minerals to see if they have any specific flavor or effect on her tongue when exposed to them. (Tasting is not relevant; hardness assessment requires tactile methods, not sense of taste.)",irrelevant
deepseek_EM_21a_118,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,* Use them as scratch paper by writing on their surfaces—this doesn’t help determine physical properties of either mineral but rather demonstrates creative problem-solving approaches!,Use them as scratch paper by writing on their surfaces—this doesn’t help determine physical properties of either mineral but rather demonstrates creative problem-solving approaches!,contradictory
deepseek_EM_21a_194,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- These minerals look so different; maybe there's something special about how they can repel water or absorb light.,These minerals look so different; maybe there's something special about how they can repel water or absorb light,irrelevant
deepseek_EM_21a_224,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,7. I bet you wish there were more options for testing hardness.,I bet you wish there were more options for testing hardness,non_domain
deepseek_EM_21a_205,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"6. ""Maybe she can find some other known-hard minerals and try scratching them against her test ones.""",Maybe she can find some other known-hard minerals and try scratching them against her test ones.,non_domain
deepseek_EM_21a_47,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Drop one mineral onto a hard surface; if it leaves no mark, it's likely softer than the other.","Drop one mineral onto a hard surface; if it leaves no mark, it's likely softer than the other",1.0
deepseek_EM_21a_191,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- The brown mineral is so shiny, it must contain some gold since only precious metals shine that brightly.","The brown mineral is so shiny, it must contain some gold since only precious metals shine that brightly",irrelevant
deepseek_EM_21a_86,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Test their resistance to scratching by dragging another known hard mineral over them (like ceramic against the black mineral), as hardness is also defined by resistance to scratches. - Rub both minerals against each other to see if one leaves a mark on the other, indicating softness rather than hardness.","Test their resistance to scratching by dragging another known hard mineral over them (like ceramic against the black mineral), as hardness is also defined by resistance to scratches. - Rub both minerals against each other to see if one leaves a mark on the other, indicating softness rather than hardness",partially_correct_incomplete
deepseek_EM_21a_148,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,* Test their resistance to abrasion by rubbing one against another; harder mineral will not show much wear compared to softer one.,Test their resistance to abrasion by rubbing one against another; harder mineral will not show much wear compared to softer one,contradictory
deepseek_EM_21a_248,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Do you think they will believe us if we tell them this?  ,Do you think they will believe us if we tell them this?,non_domain
deepseek_EM_21a_238,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"3. Which one do you like better, and why?","Which one do you like better, and why?",non_domain
deepseek_EM_21a_129,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Counting how many fingers they need to bend will indicate hardness level.,Counting how many fingers they need to bend will indicate hardness level,contradictory
deepseek_EM_21a_111,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* Strike them together with another object (e.g., hammer) to see if they shatter or change appearance as this would indicate their reaction under impact, unrelated to hardness testing.","Strike them together with another object (e.g., hammer) to see if they shatter or change appearance as this would indicate their reaction under impact, unrelated to hardness testing",contradictory
deepseek_EM_21a_78,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Drop one mineral from different heights and observe whether it breaks or cracks under impact, suggesting brittleness over hardness.","Drop one mineral from different heights and observe whether it breaks or cracks under impact, suggesting brittleness over hardness",partially_correct_incomplete
deepseek_EM_21a_61,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Observe how they react when struck with a hard object like another mineral or rock.,Observe how they react when struck with a hard object like another mineral or rock,partially_correct_incomplete
deepseek_EM_21a_210,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- ""Maybe she could tap them together?""",Maybe she could tap them together?,non_domain
deepseek_EM_21a_138,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Throwing them against a wall, assuming impact would determine their solidity based on damage caused.","Throwing them against a wall, assuming impact would determine their solidity based on damage caused",contradictory
deepseek_EM_21a_67,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Place under foot and apply pressure, harder materials will feel more firm beneath your feet compared to softer ones.","Place under foot and apply pressure, harder materials will feel more firm beneath your feet compared to softer ones",partially_correct_incomplete
deepseek_EM_21a_14,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Observe if either mineral can scratch glass or leave marks on a harder surface, indicating hardness characteristics.","Observe if either mineral can scratch glass or leave marks on a harder surface, indicating hardness characteristics",1.0
deepseek_EM_21a_112,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,* Observe the minerals in different lighting conditions; color changes might suggest reactions due to light sensitivity rather than hardness assessment.,Observe the minerals in different lighting conditions; color changes might suggest reactions due to light sensitivity rather than hardness assessment,contradictory
deepseek_EM_21a_32,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,* Compare their appearance in different lighting conditions to gauge how they might react under pressure.  ,Compare their appearance in different lighting conditions to gauge how they might react under pressure,1.0
deepseek_EM_21a_33,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,* Press them against your teeth and feel which is less likely to cause discomfort due to sharpness or hardness.  ,Press them against your teeth and feel which is less likely to cause discomfort due to sharpness or hardness,1.0
deepseek_EM_21a_146,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Throwing them into water and observing if they sink immediately (indicating porousness) instead of floating—a presumed measure of hardness based on density differences.,Throwing them into water and observing if they sink immediately (indicating porousness) instead of floating—a presumed measure of hardness based on density differences,contradictory
deepseek_EM_21a_82,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Try bending them slightly using fingers; brittle materials are softer and can be bent more easily compared to harder ones that retain shape better.,Try bending them slightly using fingers; brittle materials are softer and can be bent more easily compared to harder ones that retain shape better,partially_correct_incomplete
deepseek_EM_21a_88,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- If Georgia can find another object of known hardness (like glass), she could test their ability to scratch these objects as well.","If Georgia can find another object of known hardness (like glass), she could test their ability to scratch these objects as well",partially_correct_incomplete
deepseek_EM_21a_126,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- By licking each mineral and seeing if their surfaces change taste upon contact with saliva as an indirect measure of chemical composition impacting physical properties like hardness.,By licking each mineral and seeing if their surfaces change taste upon contact with saliva as an indirect measure of chemical composition impacting physical properties like hardness,contradictory
deepseek_EM_21a_64,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Strike them separately against a harder surface to see if either breaks or shows signs of wear.,Strike them separately against a harder surface to see if either breaks or shows signs of wear,partially_correct_incomplete
deepseek_EM_21a_89,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Observe how they perform under foot pressure, with harder minerals typically being able to withstand heavier steps without indentations.","Observe how they perform under foot pressure, with harder minerals typically being able to withstand heavier steps without indentations",partially_correct_incomplete
deepseek_EM_21a_133,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Looking at the minerals under different lighting conditions.,Looking at the minerals under different lighting conditions,contradictory
deepseek_EM_21a_55,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- **Scratching Paper**: Rubbing the surface of each mineral gently on a rough surface like unglazed ceramic or chalk. Harder materials won’t leave marks, whereas softer ones may scratch easily.","Scratching Paper**: Rubbing the surface of each mineral gently on a rough surface like unglazed ceramic or chalk. Harder materials won’t leave marks, whereas softer ones may scratch easily",partially_correct_incomplete
deepseek_EM_21a_192,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- If I throw both minerals in water, they will sink because all heavy things do when you drop them into a container with liquid.","If I throw both minerals in water, they will sink because all heavy things do when you drop them into a container with liquid",irrelevant
deepseek_EM_21a_239,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,4. Could they be from a nearby mountain or maybe at school?,Could they be from a nearby mountain or maybe at school?,non_domain
deepseek_EM_21a_44,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* Compare the weight of each mineral with water—denser materials will sink, indicating higher hardness compared to those that float or remain buoyant.","Compare the weight of each mineral with water—denser materials will sink, indicating higher hardness compared to those that float or remain buoyant",1.0
deepseek_EM_21a_229,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Do you think it would be hard to do this?,Do you think it would be hard to do this?,non_domain
deepseek_EM_21a_198,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Perhaps Georgia can use her fingers to compare which mineral leaves more of a mark when pressed against paper; harder minerals leave less marks! (This response is irrelevant because it suggests using indentation as a method for determining hardness, rather than examining resistance to scratching or abrasion.)","Perhaps Georgia can use her fingers to compare which mineral leaves more of a mark when pressed against paper; harder minerals leave less marks! (This response is irrelevant because it suggests using indentation as a method for determining hardness, rather than examining resistance to scratching or abrasion.)",irrelevant
deepseek_EM_21a_104,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Tasting them by licking or biting, which could reveal taste differences if one is particularly bitter or salty compared to the other.","Tasting them by licking or biting, which could reveal taste differences if one is particularly bitter or salty compared to the other",contradictory
deepseek_EM_21a_45,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* Gently scrape one mineral’s surface using a fingernail (or another hard object). If it causes any mark or damage easily, this suggests lower hardness levels compared to minerals resistant to such scratching tests.","Gently scrape one mineral’s surface using a fingernail (or another hard object). If it causes any mark or damage easily, this suggests lower hardness levels compared to minerals resistant to such scratching tests",1.0
deepseek_EM_21a_70,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Rubbing two different parts of the same mineral together until hands become sore or bruised as a crude measure of hardness.,Rubbing two different parts of the same mineral together until hands become sore or bruised as a crude measure of hardness,partially_correct_incomplete
deepseek_EM_21a_26,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Press each mineral against a cold glass surface for a few seconds to test thermal conductivity (simulating touch of another object).,Press each mineral against a cold glass surface for a few seconds to test thermal conductivity (simulating touch of another object),1.0
deepseek_EM_21a_143,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Tasting them directly and observing changes in taste or texture over time (assuming chemicals on surfaces don’t interfere).,Tasting them directly and observing changes in taste or texture over time (assuming chemicals on surfaces don’t interfere),contradictory
deepseek_EM_21a_178,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- She might want to research why some rocks are magnetic before discussing whether these are among those types.,She might want to research why some rocks are magnetic before discussing whether these are among those types,irrelevant
deepseek_EM_21a_147,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* Drop them on a hard surface and observe if they leave marks or break, indicating hardness level.","Drop them on a hard surface and observe if they leave marks or break, indicating hardness level",contradictory
deepseek_EM_21a_91,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Use her hands to squeeze both minerals gently—a softer material may deform more easily than a hard one.,Use her hands to squeeze both minerals gently—a softer material may deform more easily than a hard one,partially_correct_incomplete
deepseek_EM_21a_131,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Using their teeth, feeling for any sharp or rough edges.","Using their teeth, feeling for any sharp or rough edges",contradictory
deepseek_EM_21a_160,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- She should check if they have different shapes or forms in nature.,She should check if they have different shapes or forms in nature,irrelevant
deepseek_EM_21a_196,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- The brown and black minerals might be made of different types of metals because they have contrasting colors. (This answer is not relevant as it does not address hardness but rather discusses a characteristic related to chemical composition.),The brown and black minerals might be made of different types of metals because they have contrasting colors. (This answer is not relevant as it does not address hardness but rather discusses a characteristic related to chemical composition.),irrelevant
deepseek_EM_21a_62,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Drop one from a height and observe if the hardness causes any damage.,Drop one from a height and observe if the hardness causes any damage,partially_correct_incomplete
deepseek_EM_21a_175,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- You could use these minerals to make a model volcano by crushing them and mixing with water.,You could use these minerals to make a model volcano by crushing them and mixing with water,irrelevant
deepseek_EM_21a_156,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Georgia can sing a song to enchant one mineral into revealing its true nature, which could then be measured by some magical force. (Magical forces are entirely irrelevant for testing physical properties of materials.)","Georgia can sing a song to enchant one mineral into revealing its true nature, which could then be measured by some magical force. (Magical forces are entirely irrelevant for testing physical properties of materials.)",irrelevant
deepseek_EM_21a_179,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* The minerals are magnetic, so she can use a magnet to test their hardness by seeing if they stick together or not.","The minerals are magnetic, so she can use a magnet to test their hardness by seeing if they stick together or not",irrelevant
deepseek_EM_21a_63,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Pour sand on them while rubbing them gently against each other for comparison.,Pour sand on them while rubbing them gently against each other for comparison,partially_correct_incomplete
deepseek_EM_21a_173,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- The color of the minerals can tell you what kind of elements they contain, but not necessarily anything about hardness.","The color of the minerals can tell you what kind of elements they contain, but not necessarily anything about hardness",irrelevant
deepseek_EM_21a_211,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- ""They might be able to use their hands for this task.""",They might be able to use their hands for this task.,non_domain
deepseek_EM_21a_48,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Rub both minerals against each other’s surfaces for several minutes to gauge hardness through wear.,Rub both minerals against each other’s surfaces for several minutes to gauge hardness through wear,1.0
deepseek_EM_21a_135,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Spinning each mineral fast enough that it spins independently.,Spinning each mineral fast enough that it spins independently,contradictory
deepseek_EM_21a_51,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- **Stacking Comparison**: Georgia could see if one mineral can fit under the other or balance on top of it. This would help determine relative hardness and stability.,Stacking Comparison**: Georgia could see if one mineral can fit under the other or balance on top of it. This would help determine relative hardness and stability,partially_correct_incomplete
deepseek_EM_21a_140,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Using one mineral as a hammerstone against another in hopes of creating sparks for measuring hardness through impacts and resistance.,Using one mineral as a hammerstone against another in hopes of creating sparks for measuring hardness through impacts and resistance,contradictory
deepseek_EM_21a_31,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"* Use the edge of one mineral to scratch lightly along the other, softer mineral.  ","Use the edge of one mineral to scratch lightly along the other, softer mineral",1.0
deepseek_EM_21a_165,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Georgia should observe if one mineral attracts or repels other materials like magnets for hardness testing.,Georgia should observe if one mineral attracts or repels other materials like magnets for hardness testing,irrelevant
deepseek_EM_21a_6,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Dropping one mineral into vinegar and noting whether there are visible bubbles or reactions over time.,Dropping one mineral into vinegar and noting whether there are visible bubbles or reactions over time,1.0
deepseek_EM_21a_158,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- The black mineral will look particularly shiny under sunlight because it contains more reflective particles than others known in scientific literature at this time. (Shine and reflection are irrelevant characteristics for testing hardness by touch or indentation.),The black mineral will look particularly shiny under sunlight because it contains more reflective particles than others known in scientific literature at this time. (Shine and reflection are irrelevant characteristics for testing hardness by touch or indentation.),irrelevant
deepseek_EM_21a_108,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Using personal skin sensitivity: gently rubbing one mineral against the inside of your forearm to see if it causes irritation, suggesting possible chemical properties or sharpness might be involved.","Using personal skin sensitivity: gently rubbing one mineral against the inside of your forearm to see if it causes irritation, suggesting possible chemical properties or sharpness might be involved",contradictory
deepseek_EM_21a_203,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"4. ""Georgia should try banging two minerals on something hard to compare the sounds they make.""",Georgia should try banging two minerals on something hard to compare the sounds they make.,non_domain
deepseek_EM_21a_218,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- ""I think you might just need to look at the minerals closely and decide by how they seem tough or not."" 1. Can you believe that's what we have to test?","I think you might just need to look at the minerals closely and decide by how they seem tough or not."" 1. Can you believe that's what we have to test?",non_domain
deepseek_EM_21a_99,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Compare the density and weight of each mineral – heavier or denser materials are generally harder than lighter ones.,Compare the density and weight of each mineral – heavier or denser materials are generally harder than lighter ones,partially_correct_incomplete
deepseek_EM_21a_208,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"9. ""Maybe she should try rubbing them against each other directly to feel their textures and compare hardness levels that way.""",Maybe she should try rubbing them against each other directly to feel their textures and compare hardness levels that way.,non_domain
deepseek_EM_21a_94,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Use her teeth to chip off pieces of each mineral—hardness is indicated by resistance against chipping or shattering under pressure.,Use her teeth to chip off pieces of each mineral—hardness is indicated by resistance against chipping or shattering under pressure,partially_correct_incomplete
deepseek_EM_21a_176,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,"- Since one is brown and one is black, she can determine their hardness based on how easily they break apart when touched.","Since one is brown and one is black, she can determine their hardness based on how easily they break apart when touched",irrelevant
deepseek_EM_21a_144,EM_21a,Georgia found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?,- Comparing weight while comparing lightness; heavier is supposedly harder according to some students' observations.,Comparing weight while comparing lightness; heavier is supposedly harder according to some students' observations,contradictory
