id,question,question_text,answer,text_clean,label
deepseek_II_38_66,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Reflection shows only half body as mirror splits in middle on opposite sides  ,Reflection shows only half body as mirror splits in middle on opposite sides,partially_correct_incomplete
deepseek_II_38_107,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,* A reflection in the mirror can only show half of anything that cannot be viewed from one side directly facing object's flat plane edge-on.,A reflection in the mirror can only show half of anything that cannot be viewed from one side directly facing object's flat plane edge-on,contradictory
deepseek_II_38_220,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"- Hmm, that’s a bit confusing for me to picture.","Hmm, that’s a bit confusing for me to picture",non_domain
deepseek_II_38_57,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- It’s as though you are seeing another part of yourself on a different plain without adding anything new visually.,It’s as though you are seeing another part of yourself on a different plain without adding anything new visually,partially_correct_incomplete
deepseek_II_38_226,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Let’s figure this out together.,Let’s figure this out together,non_domain
deepseek_II_38_11,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,2. The mirrored image appears reversed because it is created in reverse order from how objects are usually reflected upon looking at them directly.,The mirrored image appears reversed because it is created in reverse order from how objects are usually reflected upon looking at them directly,1.0
deepseek_II_38_182,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Imagine it as half of a whole puzzle piece.,Imagine it as half of a whole puzzle piece,irrelevant
deepseek_II_38_55,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"- A mirrored side shows your double standing sideways, but if you turn around it flips to show only one of you in profile.","A mirrored side shows your double standing sideways, but if you turn around it flips to show only one of you in profile",partially_correct_incomplete
deepseek_II_38_233,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Can you repeat the question again?,Can you repeat the question again?,non_domain
deepseek_II_38_123,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,* There would be no image at all since mirrors reverse left and right but do not create images for points that are symmetric about their axis of reflection.,There would be no image at all since mirrors reverse left and right but do not create images for points that are symmetric about their axis of reflection,contradictory
deepseek_II_38_179,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- There's an even distribution like in a checkerboard.,There's an even distribution like in a checkerboard,irrelevant
deepseek_II_38_61,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- A mirror placed along a line of symmetry will show two people standing opposite each other  ,A mirror placed along a line of symmetry will show two people standing opposite each other,partially_correct_incomplete
