id,question,question_text,answer,text_clean,label
deepseek_LF_39_138,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"- Measure distances from one spot directly onto real life; for example, estimating that 1 square equals 50 meters despite no grid reference in between.","Measure distances from one spot directly onto real life; for example, estimating that 1 square equals 50 meters despite no grid reference in between",contradictory
deepseek_LF_39_70,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,* Measure distances on the actual neighborhood using string and ruler to accurately represent scale while sketching out the map.,Measure distances on the actual neighborhood using string and ruler to accurately represent scale while sketching out the map,partially_correct_incomplete
deepseek_LF_39_24,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"- Draft an initial scaled map using tracing paper, pinning it over several sheets of graph paper to outline significant features accurately.","Draft an initial scaled map using tracing paper, pinning it over several sheets of graph paper to outline significant features accurately",1.0
deepseek_LF_39_117,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"8. He should not consider fit into a notebook at all during the drawing process; instead, focus solely on accuracy of representation within the photograph itself.","He should not consider fit into a notebook at all during the drawing process; instead, focus solely on accuracy of representation within the photograph itself",contradictory
deepseek_LF_39_39,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"3. Sketch this grid over the overlay, marking each section of your notebook equivalent to real-world distances.","Sketch this grid over the overlay, marking each section of your notebook equivalent to real-world distances",1.0
deepseek_LF_39_26,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Select multiple points on key buildings and fixtures directly from the photo then use these coordinates as guides while drawing within the notebook.,Select multiple points on key buildings and fixtures directly from the photo then use these coordinates as guides while drawing within the notebook,1.0
deepseek_LF_39_38,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,2. Divide the notebook into quadrants or sections that align with major landmarks and streets visible on the photo.,Divide the notebook into quadrants or sections that align with major landmarks and streets visible on the photo,1.0
deepseek_LF_39_80,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Start by marking key landmarks with a ruler on the notebook's surface.,Start by marking key landmarks with a ruler on the notebook's surface,partially_correct_incomplete
deepseek_LF_39_86,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Make use of perspective lines to depict buildings at different angles and distances in your drawing.,Make use of perspective lines to depict buildings at different angles and distances in your drawing,partially_correct_incomplete
deepseek_LF_39_183,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- A discussion on weather patterns that could affect drawing an accurate map from photographs.,A discussion on weather patterns that could affect drawing an accurate map from photographs,irrelevant
deepseek_LF_39_126,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Recreate landmarks purely based on memory rather than actual observations in the photo to save time during drawing process.,Recreate landmarks purely based on memory rather than actual observations in the photo to save time during drawing process,contradictory
deepseek_LF_39_142,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"- Convert all measurements in the photograph to inches, then draw them onto graph paper at the same scale","Convert all measurements in the photograph to inches, then draw them onto graph paper at the same scale",contradictory
deepseek_LF_39_221,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- How can I make my map fit without losing details?,How can I make my map fit without losing details?,non_domain
deepseek_LF_39_12,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"4. Use transparent rulers to draw straight lines parallel to each other, ensuring they match up with specific points in the original photograph.","Use transparent rulers to draw straight lines parallel to each other, ensuring they match up with specific points in the original photograph",1.0
deepseek_LF_39_206,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Can you give me some tips on making maps in notebooks?,Can you give me some tips on making maps in notebooks?,non_domain
deepseek_LF_39_119,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,10. He shouldn’t bother with color differentiation on his map; instead opting only for black-and-white drawings will save space while preserving important visual cues like roads versus buildings etcetera.,He shouldn’t bother with color differentiation on his map; instead opting only for black-and-white drawings will save space while preserving important visual cues like roads versus buildings etcetera,contradictory
deepseek_LF_39_133,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"- Sketch the entire neighborhood in one go, ensuring everything is visible on the small scale.","Sketch the entire neighborhood in one go, ensuring everything is visible on the small scale",contradictory
