id,question,question_text,answer,text_clean,label
deepseek_LP_15c_147,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Increasing the distance between the fulcrum and the load always reduces the effort needed to lift it.,Increasing the distance between the fulcrum and the load always reduces the effort needed to lift it,contradictory
deepseek_LP_15c_201,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""I think it depends on how strong you feel today.""",I think it depends on how strong you feel today.,non_domain
deepseek_LP_15c_74,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Effort is directly proportional to how far you need to lift something.,Effort is directly proportional to how far you need to lift something,partially_correct_incomplete
deepseek_LP_15c_109,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The relationship between distance and effort depends on individual muscle strength and physique, not just physics principles. - Lifting distance has no impact on effort required.  ","The relationship between distance and effort depends on individual muscle strength and physique, not just physics principles. - Lifting distance has no impact on effort required",contradictory
deepseek_LP_15c_75,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- You can use more or less effort depending on your grip strength at any given point.,You can use more or less effort depending on your grip strength at any given point,partially_correct_incomplete
deepseek_LP_15c_144,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The amount of effort needed depends solely on the weight of the object and not its distance from the fulcrum in a lift or pull situation because physics dictates outcomes differently depending on these factors.,The amount of effort needed depends solely on the weight of the object and not its distance from the fulcrum in a lift or pull situation because physics dictates outcomes differently depending on these factors,contradictory
deepseek_LP_15c_159,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The color of the load affects how much one sweats when lifting it.,The color of the load affects how much one sweats when lifting it,irrelevant
deepseek_LP_15c_25,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,* The amount of effort needed decreases with increased distance between your body and the object being lifted.,The amount of effort needed decreases with increased distance between your body and the object being lifted,1.0
deepseek_LP_15c_231,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Maybe weight matters too!,Maybe weight matters too!,non_domain
deepseek_LP_15c_148,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The ease of lifting a load is proportional to how quickly one can move, so short distances require little effort compared to long ones.","The ease of lifting a load is proportional to how quickly one can move, so short distances require little effort compared to long ones",contradictory
deepseek_LP_15c_4,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Levers function on the principle of maintaining mechanical equilibrium where the product of effort and distance is constant across both sides for balanced movement.,Levers function on the principle of maintaining mechanical equilibrium where the product of effort and distance is constant across both sides for balanced movement,1.0
deepseek_LP_15c_136,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- A longer lever arm means less work is required for a given output force due to physics laws like torque. - Lighter loads can be lifted further with less effort than heavier ones due to leverage, contradicting that more effort is required for lifting distance.","A longer lever arm means less work is required for a given output force due to physics laws like torque. - Lighter loads can be lifted further with less effort than heavier ones due to leverage, contradicting that more effort is required for lifting distance",contradictory
deepseek_LP_15c_183,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,7. What's the best way to use leverage in everyday life outside of school activities?,What's the best way to use leverage in everyday life outside of school activities?,irrelevant
deepseek_LP_15c_190,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The relationship is similar to choosing your seat in class: you might exert more effort when moving towards the back row.,The relationship is similar to choosing your seat in class: you might exert more effort when moving towards the back row,irrelevant
deepseek_LP_15c_66,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Lever efficiency depends on the balance between effort and resistance forces.  ,Lever efficiency depends on the balance between effort and resistance forces,partially_correct_incomplete
deepseek_LP_15c_37,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"Your task is to think about possible answers students could give, generating a list of exactly 10 correct responses.","Your task is to think about possible answers students could give, generating a list of exactly 10 correct responses",1.0
deepseek_LP_15c_52,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Lifting a heavy object close to the body takes less energy than lifting one far away.,Lifting a heavy object close to the body takes less energy than lifting one far away,partially_correct_incomplete
deepseek_LP_15c_70,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Effort required depends on how close you are to your body’s center of gravity.,Effort required depends on how close you are to your body’s center of gravity,partially_correct_incomplete
deepseek_LP_15c_194,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- This question reminds me of choosing cookies from a jar at home; reaching for them varies with how close/far I stand to get my favorite ones.,This question reminds me of choosing cookies from a jar at home; reaching for them varies with how close/far I stand to get my favorite ones,irrelevant
deepseek_LP_15c_88,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"* Greater force is needed for closer loads compared to farther ones, although it's more about torque than just distance.","Greater force is needed for closer loads compared to farther ones, although it's more about torque than just distance",partially_correct_incomplete
deepseek_LP_15c_202,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""Does anyone else understand this?""",Does anyone else understand this?,non_domain
deepseek_LP_15c_45,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- A lever's power (ability to move an object) decreases when increasing the distance between the load and the pivot point.,A lever's power (ability to move an object) decreases when increasing the distance between the load and the pivot point,1.0
deepseek_LP_15c_214,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Can we do an experiment to see how lifting effort changes with distance from the fulcrum?,Can we do an experiment to see how lifting effort changes with distance from the fulcrum?,non_domain
deepseek_LP_15c_53,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- When you move the fulcrum closer to the load, you need more effort to lift it.","When you move the fulcrum closer to the load, you need more effort to lift it",partially_correct_incomplete
deepseek_LP_15c_189,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- Just like picking up toys, some areas are easier to reach than others!","Just like picking up toys, some areas are easier to reach than others!",irrelevant
deepseek_LP_15c_115,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- More effort is needed when moving objects closer to you than far away.  ,More effort is needed when moving objects closer to you than far away,contradictory
deepseek_LP_15c_139,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The amount of effort needed for lifting increases linearly as you decrease the distance from the fulcrum, which means they are inversely proportional, not directly related to distance.","The amount of effort needed for lifting increases linearly as you decrease the distance from the fulcrum, which means they are inversely proportional, not directly related to distance",contradictory
deepseek_LP_15c_196,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- It depends on how much space I have in my locker for books and notecards. (Not applicable to physics of lifting load),It depends on how much space I have in my locker for books and notecards. (Not applicable to physics of lifting load),irrelevant
deepseek_LP_15c_90,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"* The type of load (heavy vs. light) impacts how much effort one must exert, regardless of the lever length.","The type of load (heavy vs. light) impacts how much effort one must exert, regardless of the lever length",partially_correct_incomplete
deepseek_LP_15c_234,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Is the distance proportional to how hard you have to push?,Is the distance proportional to how hard you have to push?,non_domain
deepseek_LP_15c_119,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The closer you are to the fulcrum, the less force needed; this is not true for larger loads farther away from the fulcrum.","The closer you are to the fulcrum, the less force needed; this is not true for larger loads farther away from the fulcrum",contradictory
deepseek_LP_15c_210,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- I'm not really sure about that one.,I'm not really sure about that one,non_domain
deepseek_LP_15c_19,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"* The relationship between effort and distance is inversely proportional, meaning that as one increases, the other decreases.","The relationship between effort and distance is inversely proportional, meaning that as one increases, the other decreases",1.0
deepseek_LP_15c_32,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,* Lighter loads are easier to move over long distances compared to heavy ones because less effort is needed at greater distances.,Lighter loads are easier to move over long distances compared to heavy ones because less effort is needed at greater distances,1.0
deepseek_LP_15c_178,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,2. The relationship between effort and distance is more about personal preferences rather than any scientific principle.,The relationship between effort and distance is more about personal preferences rather than any scientific principle,irrelevant
deepseek_LP_15c_39,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- Proportionally, lifting a heavy object near its pivot point takes more energy than doing so with an object farther away.","Proportionally, lifting a heavy object near its pivot point takes more energy than doing so with an object farther away",1.0
deepseek_LP_15c_102,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Heavier weights require lifting closer to the fulcrum for better leverage.,Heavier weights require lifting closer to the fulcrum for better leverage,contradictory
deepseek_LP_15c_232,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Does anyone know if lifting technique changes this?,Does anyone know if lifting technique changes this?,non_domain
deepseek_LP_15c_114,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The further away from the fulcrum, the more strength needed for a lift.  ","The further away from the fulcrum, the more strength needed for a lift",contradictory
deepseek_LP_15c_77,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- Distance and the load’s mass together determine the amount of energy needed to lift it, considering gravity. - More effort is needed for lifting heavier loads closer to the fulcrum.","Distance and the load’s mass together determine the amount of energy needed to lift it, considering gravity. - More effort is needed for lifting heavier loads closer to the fulcrum",partially_correct_incomplete
deepseek_LP_15c_101,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The distance from the fulcrum has no impact on how hard it is to lift a load.,The distance from the fulcrum has no impact on how hard it is to lift a load,contradictory
deepseek_LP_15c_120,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- Effort increases linearly with load size, regardless of position or distance.","Effort increases linearly with load size, regardless of position or distance",contradictory
deepseek_LP_15c_84,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Lifting heavier objects requires more physical energy but can be done from any distance with enough strength.,Lifting heavier objects requires more physical energy but can be done from any distance with enough strength,partially_correct_incomplete
deepseek_LP_15c_43,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- For every increase in distance from the fulcrum, less effort is required to overcome gravity.","For every increase in distance from the fulcrum, less effort is required to overcome gravity",1.0
deepseek_LP_15c_129,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Effort in lifting a load increases linearly with increased distance from the fulcrum.,Effort in lifting a load increases linearly with increased distance from the fulcrum,contradictory
deepseek_LP_15c_177,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,1. It depends on the weight of the object being lifted.,It depends on the weight of the object being lifted,irrelevant
deepseek_LP_15c_173,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The type of music can affect how hard one is willing to lift something.,The type of music can affect how hard one is willing to lift something,irrelevant
deepseek_LP_15c_249,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"Hmm, let me see if my friend knows the answer to that!  ","Hmm, let me see if my friend knows the answer to that!",non_domain
deepseek_LP_15c_228,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""Can we discuss this during recess instead?"" - It depends on how strong you are.","Can we discuss this during recess instead?"" - It depends on how strong you are",non_domain
deepseek_LP_15c_193,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The more steps in PE class, the harder your muscles work depending on whether they are near or far from their comfort zone.","The more steps in PE class, the harder your muscles work depending on whether they are near or far from their comfort zone",irrelevant
deepseek_LP_15c_5,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The amount of lift difficulty varies with load proximity; heavier loads are easier to move when nearer the pivot point.,The amount of lift difficulty varies with load proximity; heavier loads are easier to move when nearer the pivot point,1.0
deepseek_LP_15c_122,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The amount of effort required doesn't depend on the weight at all; it only depends on your upper body strength and technique.,The amount of effort required doesn't depend on the weight at all; it only depends on your upper body strength and technique,contradictory
deepseek_LP_15c_82,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The amount of effort depends on the load’s mass, not its proximity to the fulcrum.","The amount of effort depends on the load’s mass, not its proximity to the fulcrum",partially_correct_incomplete
deepseek_LP_15c_151,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- It depends on whether your left foot or right foot is closer to the fulcrum while lifting the load.  ,It depends on whether your left foot or right foot is closer to the fulcrum while lifting the load,irrelevant
deepseek_LP_15c_244,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,8. You know what would make it easier to learn and remember all these details? A helpful mnemonic!,You know what would make it easier to learn and remember all these details? A helpful mnemonic!,non_domain
deepseek_LP_15c_152,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Lever length and handgrip position have a greater impact than distance from the fulcrum.  ,Lever length and handgrip position have a greater impact than distance from the fulcrum,irrelevant
deepseek_LP_15c_225,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""Maybe it's like mixing colors in art class.""  ",Maybe it's like mixing colors in art class.,non_domain
deepseek_LP_15c_138,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- A short distance requires equal amounts of effort whether the load is light or heavy because the lever arm length remains constant, contradicting force requirement increasing with distance.DKIM1=noissuevalue","A short distance requires equal amounts of effort whether the load is light or heavy because the lever arm length remains constant, contradicting force requirement increasing with distance.DKIM1=noissuevalue",contradictory
deepseek_LP_15c_26,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,* Effort required is more heavily influenced by weight than distance when calculating mechanical advantage in simple machines like a seesaw.,Effort required is more heavily influenced by weight than distance when calculating mechanical advantage in simple machines like a seesaw,1.0
deepseek_LP_15c_207,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""I don’t like talking about this kind of thing, but okay...""","I don’t like talking about this kind of thing, but okay...",non_domain
deepseek_LP_15c_186,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"10. Is there some kind of ancient wisdom or secret technique that could change these outcomes when applied correctly in every situation presented here today? - The relationship is like playing musical chairs, with more distance requiring faster running!","Is there some kind of ancient wisdom or secret technique that could change these outcomes when applied correctly in every situation presented here today? - The relationship is like playing musical chairs, with more distance requiring faster running!",irrelevant
deepseek_LP_15c_46,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The closer the load is to the fulcrum, the less energy it takes to lift or lower it using a lever.","The closer the load is to the fulcrum, the less energy it takes to lift or lower it using a lever",1.0
deepseek_LP_15c_172,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- You should always count in multiples of five when lifting things close to you.,You should always count in multiples of five when lifting things close to you,irrelevant
deepseek_LP_15c_200,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- ""It's too hard for me to explain.""",It's too hard for me to explain.,non_domain
deepseek_LP_15c_199,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The time of day affects how much effort is needed, as mornings are brighter and lighter but evenings darker! (Time vs. physical exertion or distance from fulcrum)","The time of day affects how much effort is needed, as mornings are brighter and lighter but evenings darker! (Time vs. physical exertion or distance from fulcrum)",irrelevant
deepseek_LP_15c_76,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- The type of object determines if force needs are higher for lifting based on weight or friction resistance.,The type of object determines if force needs are higher for lifting based on weight or friction resistance,partially_correct_incomplete
deepseek_LP_15c_106,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The distance from the fulcrum affects how much force is needed to move an object, not the amount of effort required.","The distance from the fulcrum affects how much force is needed to move an object, not the amount of effort required",contradictory
deepseek_LP_15c_38,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"- The load's distance from the fulcrum directly affects the effort needed to lift it, with closer loads requiring less force.","The load's distance from the fulcrum directly affects the effort needed to lift it, with closer loads requiring less force",1.0
deepseek_LP_15c_49,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,"3. Proportionally, increasing either amount will balance lifting forces on the seesaw.","Proportionally, increasing either amount will balance lifting forces on the seesaw",1.0
deepseek_LP_15c_243,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,7. Is there any chance we could skip learning about that for today's lesson?,Is there any chance we could skip learning about that for today's lesson?,non_domain
deepseek_LP_15c_125,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,- Distance doesn't matter; what matters is whether the load is stationary or moving—stationary loads require more force to lift than moving ones.,Distance doesn't matter; what matters is whether the load is stationary or moving—stationary loads require more force to lift than moving ones,contradictory
deepseek_LP_15c_11,LP_15c,What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?,3. Lifting a heavy load requires less effort when it's close to the fulcrum than when it’s far away.  ,Lifting a heavy load requires less effort when it's close to the fulcrum than when it’s far away,1.0
