id,question,question_text,answer,text_clean,label
deepseek_ME_30_50,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?, - The car's metal body has a specific magnetic property that can activate the hidden magnet under the road surface.  ,The car's metal body has a specific magnetic property that can activate the hidden magnet under the road surface,partially_correct_incomplete
deepseek_ME_30_224,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- Cars have metal parts like wheels and bumpers, which can influence magnetic sensors.","Cars have metal parts like wheels and bumpers, which can influence magnetic sensors",non_domain
deepseek_ME_30_229,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- I guess cars touching something might send a signal to change the light.  ,I guess cars touching something might send a signal to change the light,non_domain
deepseek_ME_30_81,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The weight of the car pressing down on the magnet below causes it to change state from inactive (north/south) alignment into a dipole configuration.,The weight of the car pressing down on the magnet below causes it to change state from inactive (north/south) alignment into a dipole configuration,partially_correct_incomplete
deepseek_ME_30_237,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- It could be something to do with electricity in cars, maybe?","It could be something to do with electricity in cars, maybe?",non_domain
deepseek_ME_30_135,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"The presence of metal parts inside the car could trigger an electromagnetic field affecting the magnet below ground level and altering the light signals.,  ","The presence of metal parts inside the car could trigger an electromagnetic field affecting the magnet below ground level and altering the light signals.,",contradictory
deepseek_ME_30_66,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The car’s battery might provide enough power for a magnetic signal under extreme conditions.  ,The car’s battery might provide enough power for a magnetic signal under extreme conditions,partially_correct_incomplete
deepseek_ME_30_86,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- The heat from braking can alter properties within both vehicles and hidden magnets, resulting in triggering without direct contact or presence of other factors commonly cited as triggers. - The car's weight presses down on the magnet, activating it when parked at the light.  ","The heat from braking can alter properties within both vehicles and hidden magnets, resulting in triggering without direct contact or presence of other factors commonly cited as triggers. - The car's weight presses down on the magnet, activating it when parked at the light",partially_correct_incomplete
deepseek_ME_30_134,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"The vehicle’s motion disrupts a small stream of air that passes over the hidden road-mounted magnet, changing its state from red to green.,  ","The vehicle’s motion disrupts a small stream of air that passes over the hidden road-mounted magnet, changing its state from red to green.,",contradictory
deepseek_ME_30_120,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,A parked car does not generate any electrical current that could activate a nearby magnetic signaler.  ,A parked car does not generate any electrical current that could activate a nearby magnetic signaler,contradictory
deepseek_ME_30_166,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The driver's use of brake lights activates an electromagnetic mechanism in cars below them at traffic junctions.,The driver's use of brake lights activates an electromagnetic mechanism in cars below them at traffic junctions,irrelevant
deepseek_ME_30_42,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Pressure from tires activating a microswitch,Pressure from tires activating a microswitch,1.0
deepseek_ME_30_89,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- When the driver's side door is closed, it touches the ground and potentially triggers the light to turn green through electromagnetic induction.  ","When the driver's side door is closed, it touches the ground and potentially triggers the light to turn green through electromagnetic induction",partially_correct_incomplete
deepseek_ME_30_215,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- Who knows, right? It’s magic for sure!","Who knows, right? It’s magic for sure!",non_domain
deepseek_ME_30_204,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Is it something about the car size or speed?,Is it something about the car size or speed?,non_domain
deepseek_ME_30_110,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Cars without metal parts cannot affect magnetic triggers beneath roads.,Cars without metal parts cannot affect magnetic triggers beneath roads,contradictory
deepseek_ME_30_220,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The car's presence could disturb air around it to send a signal.,The car's presence could disturb air around it to send a signal,non_domain
deepseek_ME_30_218,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Sounds like a plot from a sci-fi movie! - Because cars have metal parts that can interact with magnets.,Sounds like a plot from a sci-fi movie! - Because cars have metal parts that can interact with magnets,non_domain
deepseek_ME_30_92,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"- Inside the car, there might be a key with embedded magnets whose presence is required for activating the light change mechanism.  ","Inside the car, there might be a key with embedded magnets whose presence is required for activating the light change mechanism",partially_correct_incomplete
deepseek_ME_30_210,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Probably a magical car!,Probably a magical car!,non_domain
deepseek_ME_30_238,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Could there be a sensor near the road covered by the car itself which triggers the magnet and light change?,Could there be a sensor near the road covered by the car itself which triggers the magnet and light change?,non_domain
deepseek_ME_30_108,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Dogs sitting at attention by their owner's stopped car are enough to trigger the signal.,Dogs sitting at attention by their owner's stopped car are enough to trigger the signal,contradictory
deepseek_ME_30_221,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Perhaps the magnet is sensitive to metallic vibrations from vehicles.,Perhaps the magnet is sensitive to metallic vibrations from vehicles,non_domain
deepseek_ME_30_235,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Could be something about the size of cars that triggers the light changes!  ,Could be something about the size of cars that triggers the light changes!,non_domain
deepseek_ME_30_97,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The magnetic field from the car can influence nearby ferrous materials like the under-road magnet to change states.  ,The magnetic field from the car can influence nearby ferrous materials like the under-road magnet to change states,partially_correct_incomplete
deepseek_ME_30_173,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The driver's hand pressing the brake pedal signals to the magnet.,The driver's hand pressing the brake pedal signals to the magnet,irrelevant
deepseek_ME_30_132,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"The pressure of the car is what sets off the sensor beneath the ground and changes the traffic lights.,  ","The pressure of the car is what sets off the sensor beneath the ground and changes the traffic lights.,",contradictory
deepseek_ME_30_137,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"The reflection from the car headlights hitting sensors under the road changes their state, switching from red to green on command. - The sound of car horns does not affect magnet operation.","The reflection from the car headlights hitting sensors under the road changes their state, switching from red to green on command. - The sound of car horns does not affect magnet operation",contradictory
deepseek_ME_30_33,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Differential magnetism interference between parts of the vehicle and potential signal emitters under the road  ,Differential magnetism interference between parts of the vehicle and potential signal emitters under the road,1.0
deepseek_ME_30_105,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Street vendors or pedestrians standing near the road can inadvertently set off the magnet mechanism.,Street vendors or pedestrians standing near the road can inadvertently set off the magnet mechanism,contradictory
deepseek_ME_30_176,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- A specific type of fuel in the car could create chemical reactions that set off the signal device.,A specific type of fuel in the car could create chemical reactions that set off the signal device,irrelevant
deepseek_ME_30_67,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- A specific type or brand of tires might be sensitive enough to activate the light upon contact.  ,A specific type or brand of tires might be sensitive enough to activate the light upon contact,partially_correct_incomplete
deepseek_ME_30_95,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- There might be an infrared sensor in the car that detects movement and signals the hidden magnet to change the light while stationary at the intersection. - The car's metal body reflects a weak electromagnetic signal to trigger the light.  ,There might be an infrared sensor in the car that detects movement and signals the hidden magnet to change the light while stationary at the intersection. - The car's metal body reflects a weak electromagnetic signal to trigger the light,partially_correct_incomplete
deepseek_ME_30_130,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,"The vibration caused by the car’s movement triggers the underground magnet to send a signal to turn on the green traffic light.,  ","The vibration caused by the car’s movement triggers the underground magnet to send a signal to turn on the green traffic light.,",contradictory
deepseek_ME_30_69,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- The presence of the car triggers electromagnetic waves that set off the traffic light switch.  ,The presence of the car triggers electromagnetic waves that set off the traffic light switch,partially_correct_incomplete
deepseek_ME_30_208,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Could there be an invisible force at play here?,Could there be an invisible force at play here?,non_domain
deepseek_ME_30_109,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Buses or large trucks passing through puddles can create an electrical surge that triggers the magnet. - The car's weight is not enough to trigger a magnet under the road.,Buses or large trucks passing through puddles can create an electrical surge that triggers the magnet. - The car's weight is not enough to trigger a magnet under the road,contradictory
deepseek_ME_30_74,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- An anti-collision device in the vehicle could be sending a signal to change the light as it senses an impact risk during a stop.  ,An anti-collision device in the vehicle could be sending a signal to change the light as it senses an impact risk during a stop,partially_correct_incomplete
deepseek_ME_30_179,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Car engines emit radio waves that interfere with light signal transmissions.,Car engines emit radio waves that interfere with light signal transmissions,irrelevant
deepseek_ME_30_24,ME_30,Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?,- Radio waves or cellular signals emitted by the car may interfere with magnetic sensor activation.,Radio waves or cellular signals emitted by the car may interfere with magnetic sensor activation,1.0
