id,question,question_text,answer,text_clean,label
deepseek_PS_2a_223,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- That’s just how rubber bands are made!,That’s just how rubber bands are made!,non_domain
deepseek_PS_2a_174,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,* Rubber bands are simply mimicking the sounds made by humans clapping hands.,Rubber bands are simply mimicking the sounds made by humans clapping hands,irrelevant
deepseek_PS_2a_3,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* The abrupt stretching of the rubber band when plucked causes rapid compression and rarefaction of nearby air, producing audible sounds.","The abrupt stretching of the rubber band when plucked causes rapid compression and rarefaction of nearby air, producing audible sounds",1.0
deepseek_PS_2a_206,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- Heard someone do it at home once.,Heard someone do it at home once,non_domain
deepseek_PS_2a_63,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- It's possible that sound could be produced by microfiber threads on fingers scraping against the rubber band as it rebounds.  ,It's possible that sound could be produced by microfiber threads on fingers scraping against the rubber band as it rebounds,partially_correct_incomplete
deepseek_PS_2a_70,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,* The stretching causes tiny parts of the rubber band to rub against each other when released.,The stretching causes tiny parts of the rubber band to rub against each other when released,partially_correct_incomplete
deepseek_PS_2a_90,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- The tension in the rubber band builds up and then is released quickly when you pluck it causing a snapping noise.  ,The tension in the rubber band builds up and then is released quickly when you pluck it causing a snapping noise,partially_correct_incomplete
deepseek_PS_2a_144,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* When you pluck a rubber band, the resulting click is merely an auditory representation of physical energy transfer from your hand's action into surrounding medium (air), where it manifests as noise; this has no direct connection with internal workings or inherent characteristics of rubber itself beyond providing necessary material properties for interaction in question.","When you pluck a rubber band, the resulting click is merely an auditory representation of physical energy transfer from your hand's action into surrounding medium (air), where it manifests as noise; this has no direct connection with internal workings or inherent characteristics of rubber itself beyond providing necessary material properties for interaction in question",contradictory
deepseek_PS_2a_0,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* The rubber band's elasticity causes it to quickly snap back, creating a noise when it hits or bends against another surface.","The rubber band's elasticity causes it to quickly snap back, creating a noise when it hits or bends against another surface",1.0
deepseek_PS_2a_145,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* The sound produced by plucking a rubber band stems purely from mechanical stress and strain experienced at microscopic levels upon rapid deformation when plucked, resulting in energy transfer via vibration that translates into audible noise above other ambient sounds present—an outcome entirely unrelated to any inherent qualities of the material beyond serving as medium facilitating interaction described.","The sound produced by plucking a rubber band stems purely from mechanical stress and strain experienced at microscopic levels upon rapid deformation when plucked, resulting in energy transfer via vibration that translates into audible noise above other ambient sounds present—an outcome entirely unrelated to any inherent qualities of the material beyond serving as medium facilitating interaction described",contradictory
deepseek_PS_2a_131,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- A hidden speaker within the rubber band emits the noise as it contracts and expands.,A hidden speaker within the rubber band emits the noise as it contracts and expands,contradictory
deepseek_PS_2a_149,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- A rubber band making sound is just an illusion caused by rapid air pressure changes around its elastic body; there’s no actual noise being produced.,A rubber band making sound is just an illusion caused by rapid air pressure changes around its elastic body; there’s no actual noise being produced,contradictory
