id,question,question_text,answer,text_clean,label
deepseek_SE_10_86,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,- Rotate the flashlight around the room instead of moving it closer or farther from the globe.  ,Rotate the flashlight around the room instead of moving it closer or farther from the globe,partially_correct_incomplete
deepseek_SE_10_78,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,- Use a timer to mark off intervals and demonstrate how shadows change length throughout the typical school day. - Adjust the flashlight's position slightly to show different shadow lengths.  ,Use a timer to mark off intervals and demonstrate how shadows change length throughout the typical school day. - Adjust the flashlight's position slightly to show different shadow lengths,partially_correct_incomplete
deepseek_SE_10_72,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,"- Use markers to trace shadows at various times, showing their growth and shrinkage patterns.","Use markers to trace shadows at various times, showing their growth and shrinkage patterns",partially_correct_incomplete
deepseek_SE_10_141,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,"- By placing the globe outside facing different directions Bryan could demonstrate how changing angles of sunlight affect shadow lengths due to Earth's rotation, but not just spinning it around.","By placing the globe outside facing different directions Bryan could demonstrate how changing angles of sunlight affect shadow lengths due to Earth's rotation, but not just spinning it around",contradictory
deepseek_SE_10_219,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,"* ""That's so cool, can we try it too?""  ","That's so cool, can we try it too?",non_domain
deepseek_SE_10_8,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,- Demonstrate changing sun path throughout a typical 24-hour period in different latitudes.,Demonstrate changing sun path throughout a typical 24-hour period in different latitudes,1.0
deepseek_SE_10_159,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,- Comparing the speed at which daylight transitions into nighttime by simulating multiple sunrises or sunsets in sequence. - Explain Earth's rotation and why shadows change during a day.,Comparing the speed at which daylight transitions into nighttime by simulating multiple sunrises or sunsets in sequence. - Explain Earth's rotation and why shadows change during a day,irrelevant
deepseek_SE_10_69,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,"* Simulate sunrise and sunset by turning off lights briefly while shining the flashlight on the globe, illustrating how gradually or dramatically light conditions shift during these periods. - Adjust the flashlight's angle to show different light paths on the globe.","Simulate sunrise and sunset by turning off lights briefly while shining the flashlight on the globe, illustrating how gradually or dramatically light conditions shift during these periods. - Adjust the flashlight's angle to show different light paths on the globe",partially_correct_incomplete
deepseek_SE_10_227,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,"* ""Is there anything special about the time of day when shadows change most dramatically?""  ",Is there anything special about the time of day when shadows change most dramatically?,non_domain
deepseek_SE_10_156,SE_10,Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?,- Using different colored golf tees to see if color affects the length or darkness of shadows.  ,Using different colored golf tees to see if color affects the length or darkness of shadows,irrelevant
