id,question,question_text,answer,text_clean,label
deepseek_VB_15a_65,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","- Rachael's technique for throwing her baseball further than others (e.g., wrist action).","Rachael's technique for throwing her baseball further than others (e.g., wrist action)",partially_correct_incomplete
deepseek_VB_15a_183,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",7. The design on their T-shirt patterns that day.,The design on their T-shirt patterns that day,irrelevant
deepseek_VB_15a_202,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",* Do all the girls have to use the same throwing method? How did we decide that?,Do all the girls have to use the same throwing method? How did we decide that?,non_domain
deepseek_VB_15a_72,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- Speed at the moment of release for Rachael.,Speed at the moment of release for Rachael,partially_correct_incomplete
deepseek_VB_15a_185,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",9. Personalized notes in the event program booklets written beforehand.,Personalized notes in the event program booklets written beforehand,irrelevant
deepseek_VB_15a_103,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- Diana had an advantage as she grew up in a rural area where there were more open spaces for practice.,Diana had an advantage as she grew up in a rural area where there were more open spaces for practice,contradictory
deepseek_VB_15a_134,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","8. Rachael used a secret family recipe adhesive applied to her hands just before throwing which was discovered post-event by another competitor's observant mother, considered illegal enhancement.","Rachael used a secret family recipe adhesive applied to her hands just before throwing which was discovered post-event by another competitor's observant mother, considered illegal enhancement",contradictory
deepseek_VB_15a_109,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?","- The girls' competitive mindset affected their performance; some threw too hard trying to win rather than focusing on accuracy or best throw technique. - **Strength of Grip**: The strength of grip used by each girl, which was not controlled or considered in their throws.","The girls' competitive mindset affected their performance; some threw too hard trying to win rather than focusing on accuracy or best throw technique. - **Strength of Grip**: The strength of grip used by each girl, which was not controlled or considered in their throws",contradictory
deepseek_VB_15a_128,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",2. Rachael's running start was actually illegal according to park regulations; it should have been disqualified but wasn't because none of them saw her approach initially.,Rachael's running start was actually illegal according to park regulations; it should have been disqualified but wasn't because none of them saw her approach initially,contradictory
deepseek_VB_15a_154,VB_15a,"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. What variable did the girls control in the contest?",- What kind of snacks were brought to cheer them on.,What kind of snacks were brought to cheer them on,irrelevant
