id,question,question_text,answer,text_clean,label
deepseek_VB_1_75,VB_1,How do you define a controlled experiment?,- A planned procedure involving manipulation of an independent variable followed by observation of the dependent variable.,A planned procedure involving manipulation of an independent variable followed by observation of the dependent variable,partially_correct_incomplete
deepseek_VB_1_120,VB_1,How do you define a controlled experiment?,- **A test where all subjects have access to information about the hypothesis**  ,A test where all subjects have access to information about the hypothesis,contradictory
deepseek_VB_1_138,VB_1,How do you define a controlled experiment?,"- **Uncontrolled experiment**: Unlike controlled experiments where variables are carefully managed and standardized for comparison purposes, uncontrolled experiments allow various factors to vary freely during the testing process.","Uncontrolled experiment**: Unlike controlled experiments where variables are carefully managed and standardized for comparison purposes, uncontrolled experiments allow various factors to vary freely during the testing process",contradictory
deepseek_VB_1_238,VB_1,How do you define a controlled experiment?,"- I'm not really sure, what is it?","I'm not really sure, what is it?",non_domain
deepseek_VB_1_180,VB_1,How do you define a controlled experiment?,"- In a controlled experiment, everything but the one thing being tested should remain constant or equal among all participants.","In a controlled experiment, everything but the one thing being tested should remain constant or equal among all participants",irrelevant
deepseek_VB_1_93,VB_1,How do you define a controlled experiment?,"- In a controlled experiment, you play with two toy cars and try to see how faster driving affects them.","In a controlled experiment, you play with two toy cars and try to see how faster driving affects them",partially_correct_incomplete
deepseek_VB_1_243,VB_1,How do you define a controlled experiment?,- How do we use controlled experiments in everyday life?,How do we use controlled experiments in everyday life?,non_domain
deepseek_VB_1_170,VB_1,How do you define a controlled experiment?,"- ""It's something like playing games in class, but with more control over what happens.""","It's something like playing games in class, but with more control over what happens.",irrelevant
deepseek_VB_1_182,VB_1,How do you define a controlled experiment?,- A controlled experiment is like baking cookies; you only change one ingredient to see what happens when you eat your cookies afterward.,A controlled experiment is like baking cookies; you only change one ingredient to see what happens when you eat your cookies afterward,irrelevant
deepseek_VB_1_58,VB_1,How do you define a controlled experiment?,"- To conduct an accurate test, you must control extraneous factors so that any results can be attributed to your hypothesis rather than outside influences in a controlled experiment.","To conduct an accurate test, you must control extraneous factors so that any results can be attributed to your hypothesis rather than outside influences in a controlled experiment",partially_correct_incomplete
deepseek_VB_1_80,VB_1,How do you define a controlled experiment?,* When you change just one thing in your project or process and measure the effects of that change.,When you change just one thing in your project or process and measure the effects of that change,partially_correct_incomplete
deepseek_VB_1_115,VB_1,How do you define a controlled experiment?,* The ideal controlled experiment would require blinding for participants and researchers alike; it seems that full transparency was maintained here without blindfolds.,The ideal controlled experiment would require blinding for participants and researchers alike; it seems that full transparency was maintained here without blindfolds,contradictory
deepseek_VB_1_127,VB_1,How do you define a controlled experiment?,- **An uncontrolled trial where participants can change their conditions as they please**  ,An uncontrolled trial where participants can change their conditions as they please,contradictory
deepseek_VB_1_33,VB_1,How do you define a controlled experiment?,"5. To conduct a controlled experiment, researchers randomly assign subjects into groups where each member receives different treatments but is matched with similar individuals in other treatment arms to ensure balance and comparability of variables.","To conduct a controlled experiment, researchers randomly assign subjects into groups where each member receives different treatments but is matched with similar individuals in other treatment arms to ensure balance and comparability of variables",1.0
deepseek_VB_1_134,VB_1,How do you define a controlled experiment?,- **Lack of Planning**: A controlled experiment requires careful planning and consideration of potential confounding variables to ensure that the results are meaningful and reliable.,Lack of Planning**: A controlled experiment requires careful planning and consideration of potential confounding variables to ensure that the results are meaningful and reliable,contradictory
deepseek_VB_1_50,VB_1,How do you define a controlled experiment?, - An experiment with only one variable being changed to see its effect is a controlled experiment.,An experiment with only one variable being changed to see its effect is a controlled experiment,partially_correct_incomplete
deepseek_VB_1_51,VB_1,How do you define a controlled experiment?,"- To conduct a controlled experiment, you must have two groups and manipulate one group's conditions while keeping another constant.","To conduct a controlled experiment, you must have two groups and manipulate one group's conditions while keeping another constant",partially_correct_incomplete
deepseek_VB_1_241,VB_1,How do you define a controlled experiment?,- Is that something from science class?,Is that something from science class?,non_domain
deepseek_VB_1_4,VB_1,How do you define a controlled experiment?,"- A key feature of controlled experiments is that they include a control group, providing baseline data against which results from the experimental group can be compared and analyzed.","A key feature of controlled experiments is that they include a control group, providing baseline data against which results from the experimental group can be compared and analyzed",1.0
deepseek_VB_1_44,VB_1,How do you define a controlled experiment?,- A controlled experiment ensures consistency by maintaining constant external influences and focusing solely on changes within one specific variable.,A controlled experiment ensures consistency by maintaining constant external influences and focusing solely on changes within one specific variable,1.0
deepseek_VB_1_247,VB_1,How do you define a controlled experiment?,- Sounds interesting! Can we discuss it?,Sounds interesting! Can we discuss it?,non_domain
deepseek_VB_1_107,VB_1,How do you define a controlled experiment?,- A controlled experiment cannot effectively measure cause and effect if it doesn't include a control group for comparison purposes—meaning this method isn’t even trying to define causality properly!,A controlled experiment cannot effectively measure cause and effect if it doesn't include a control group for comparison purposes—meaning this method isn’t even trying to define causality properly!,contradictory
deepseek_VB_1_95,VB_1,How do you define a controlled experiment?,- It’s when we do something over and over until we figure out if doing more or less helps us catch a ball better.,It’s when we do something over and over until we figure out if doing more or less helps us catch a ball better,partially_correct_incomplete
deepseek_VB_1_130,VB_1,How do you define a controlled experiment?,"- **Non-Scientific Process**: This approach involves scientific rigor and methodology rather than personal opinion or anecdotal evidence, which are not reliable bases for understanding cause-and-effect relationships.","Non-Scientific Process**: This approach involves scientific rigor and methodology rather than personal opinion or anecdotal evidence, which are not reliable bases for understanding cause-and-effect relationships",contradictory
deepseek_VB_1_60,VB_1,How do you define a controlled experiment?,- A type of scientific study where you change just one thing and observe what happens when nothing else changes around it.,A type of scientific study where you change just one thing and observe what happens when nothing else changes around it,partially_correct_incomplete
deepseek_VB_1_239,VB_1,How do you define a controlled experiment?,- Can you explain a bit more about this?,Can you explain a bit more about this?,non_domain
deepseek_VB_1_113,VB_1,How do you define a controlled experiment?,"* A controlled experiment is designed to eliminate bias, but the setup appeared biased in favor of one group over another.","A controlled experiment is designed to eliminate bias, but the setup appeared biased in favor of one group over another",contradictory
