id,question,question_text,answer,text_clean,label
deepseek_II_38_179,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,* Comparing mirror usage in science versus art or literature analysis.  ,Comparing mirror usage in science versus art or literature analysis,irrelevant
deepseek_II_38_19,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- No visual difference between left and right side when viewed through the mirror.,No visual difference between left and right side when viewed through the mirror,1.0
deepseek_II_38_78,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* When seen from one angle, you notice a continuous pattern repeated on either side.  ","When seen from one angle, you notice a continuous pattern repeated on either side",partially_correct_incomplete
deepseek_II_38_50,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object., - The reflection appears exactly on one side of the line of symmetry.,The reflection appears exactly on one side of the line of symmetry,partially_correct_incomplete
deepseek_II_38_236,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"- Would using a mirror along the line be different if we used something other than a flat object? - It's hard to tell, can you move it a bit?","Would using a mirror along the line be different if we used something other than a flat object? - It's hard to tell, can you move it a bit?",non_domain
deepseek_II_38_35,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,* Everything visible through a mirror placed along this axis appears mirrored but unaltered in size or orientation.,Everything visible through a mirror placed along this axis appears mirrored but unaltered in size or orientation,1.0
deepseek_II_38_11,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"- Two identical halves, with no detail reversed or missing.","Two identical halves, with no detail reversed or missing",1.0
deepseek_II_38_140,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* The object would appear twice, creating confusion and chaos in the room.","The object would appear twice, creating confusion and chaos in the room",contradictory
deepseek_II_38_190,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* Focuses on historical perspectives related to mirrors in different eras or cultures, but does not directly answer the question.","Focuses on historical perspectives related to mirrors in different eras or cultures, but does not directly answer the question",irrelevant
deepseek_II_38_94,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* If there is any pattern or texture on one side, you would see an identical copy mirrored across the line of symmetry.","If there is any pattern or texture on one side, you would see an identical copy mirrored across the line of symmetry",partially_correct_incomplete
deepseek_II_38_212,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"- ""This is kind of confusing, could we see an example instead?""","This is kind of confusing, could we see an example instead?",non_domain
deepseek_II_38_128,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* No visible sign whatsoever if it's a completely smooth, flat object devoid of any reflective materials applied to enhance visibility and improve contrast in low light settings.","No visible sign whatsoever if it's a completely smooth, flat object devoid of any reflective materials applied to enhance visibility and improve contrast in low light settings",contradictory
deepseek_II_38_143,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,* An illusionary second self that follows you around everywhere you go.,An illusionary second self that follows you around everywhere you go,contradictory
deepseek_II_38_168,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- **The reflection of your favorite cartoon character**,The reflection of your favorite cartoon character,irrelevant
deepseek_II_38_130,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- The image would be invisible because there is no light to reflect off a mirror on a flat object without symmetry.,The image would be invisible because there is no light to reflect off a mirror on a flat object without symmetry,contradictory
deepseek_II_38_43,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Perfect bilateral repetition appears on either side of the axis.,Perfect bilateral repetition appears on either side of the axis,1.0
deepseek_II_38_222,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,"* ""It would be weird...like an optical illusion.""",It would be weird...like an optical illusion.,non_domain
deepseek_II_38_2,II_38,Describe what you would see if a mirror were placed along a line of symmetry on a flat object.,- Two equal and mirror-image halves of an object.,Two equal and mirror-image halves of an object,1.0
