id,question,question_text,answer,text_clean,label
deepseek_LF_13a_230,LF_13a,What happens to earth materials during deposition?,- Is it in science class or somewhere else?,Is it in science class or somewhere else?,non_domain
deepseek_LF_13a_169,LF_13a,What happens to earth materials during deposition?,"- Personal habits such as flossing daily are unrelated to large-scale geological processes involved with the deposition of minerals and rock formations over time. - The earth materials become smaller during deposition, like when you crush cookies in a jar!","Personal habits such as flossing daily are unrelated to large-scale geological processes involved with the deposition of minerals and rock formations over time. - The earth materials become smaller during deposition, like when you crush cookies in a jar!",irrelevant
deepseek_LF_13a_95,LF_13a,What happens to earth materials during deposition?,- Materials can be compacted into layers when they are deposited by natural processes such as erosion.  ,Materials can be compacted into layers when they are deposited by natural processes such as erosion,partially_correct_incomplete
deepseek_LF_13a_97,LF_13a,What happens to earth materials during deposition?,- Sediment layers gradually build up over time.,Sediment layers gradually build up over time,partially_correct_incomplete
deepseek_LF_13a_204,LF_13a,What happens to earth materials during deposition?,"* ""Like how leaves collect on the ground, I guess?""","Like how leaves collect on the ground, I guess?",non_domain
deepseek_LF_13a_59,LF_13a,What happens to earth materials during deposition?,- Deposition can lead to preservation of fossil records for later study by scientists interested in Earth's past history. ,Deposition can lead to preservation of fossil records for later study by scientists interested in Earth's past history,partially_correct_incomplete
deepseek_LF_13a_163,LF_13a,What happens to earth materials during deposition?,- Human activities such as mining are external factors that influence Earth materials rather than occurring within deposition cycles.,Human activities such as mining are external factors that influence Earth materials rather than occurring within deposition cycles,irrelevant
deepseek_LF_13a_129,LF_13a,What happens to earth materials during deposition?,- Deposition refers to materials settling on the ground or at a lower altitude; they don't become part of other substances in this process.,Deposition refers to materials settling on the ground or at a lower altitude; they don't become part of other substances in this process,contradictory
deepseek_LF_13a_119,LF_13a,What happens to earth materials during deposition?,- Earth materials disintegrate during deposition rather than being deposited as solid particles.,Earth materials disintegrate during deposition rather than being deposited as solid particles,contradictory
deepseek_LF_13a_2,LF_13a,What happens to earth materials during deposition?,- Sandstone is formed by the cementation of sand grains.,Sandstone is formed by the cementation of sand grains,1.0
deepseek_LF_13a_25,LF_13a,What happens to earth materials during deposition?,- Weathering breaks down rocks into smaller particles that settle as sediment.,Weathering breaks down rocks into smaller particles that settle as sediment,1.0
deepseek_LF_13a_176,LF_13a,What happens to earth materials during deposition?,- Deposition is when you put all your toys away after playing with them; it's also what happens to dinosaurs millions of years ago!,Deposition is when you put all your toys away after playing with them; it's also what happens to dinosaurs millions of years ago!,irrelevant
deepseek_LF_13a_73,LF_13a,What happens to earth materials during deposition?,"5. In some cases, sediments can be transported by wind or ice before being deposited as sand dunes or frozen landforms.  ","In some cases, sediments can be transported by wind or ice before being deposited as sand dunes or frozen landforms",partially_correct_incomplete
deepseek_LF_13a_118,LF_13a,What happens to earth materials during deposition?,"- During deposition, there is no alteration whatsoever made on earth materials; all processes occur at a standstill without any change or transformation taking place. - Materials are not deposited during deposition, they simply settle out or become compacted under pressure in geological processes.","During deposition, there is no alteration whatsoever made on earth materials; all processes occur at a standstill without any change or transformation taking place. - Materials are not deposited during deposition, they simply settle out or become compacted under pressure in geological processes",contradictory
deepseek_LF_13a_191,LF_13a,What happens to earth materials during deposition?,5. Materials change into different forms during this stage.,Materials change into different forms during this stage,irrelevant
deepseek_LF_13a_109,LF_13a,What happens to earth materials during deposition?,"- Deposition refers specifically to mineral and organic material buildup on surfaces rather than underground formation or deep earth changes that are unrelated directly to surface layering activities within a specific time frame during Earth's history e.g., faulting zones etcetera . - Materials are destroyed during deposition, not preserved or protected.","Deposition refers specifically to mineral and organic material buildup on surfaces rather than underground formation or deep earth changes that are unrelated directly to surface layering activities within a specific time frame during Earth's history e.g., faulting zones etcetera . - Materials are destroyed during deposition, not preserved or protected",contradictory
deepseek_LF_13a_116,LF_13a,What happens to earth materials during deposition?,- The materials undergo the process of dissolution instead of settling as sediment during deposition.,The materials undergo the process of dissolution instead of settling as sediment during deposition,contradictory
deepseek_LF_13a_158,LF_13a,What happens to earth materials during deposition?,- **In cooking class we learned about deposition when adding ingredients to a recipe one at a time.**,In cooking class we learned about deposition when adding ingredients to a recipe one at a time.,irrelevant
deepseek_LF_13a_206,LF_13a,What happens to earth materials during deposition?,"* ""Ah, deposition! That must be like a geological term for something settling down or getting built up!""","Ah, deposition! That must be like a geological term for something settling down or getting built up!",non_domain
deepseek_LF_13a_196,LF_13a,What happens to earth materials during deposition?,- The process involves mixing water and paint for art projects.,The process involves mixing water and paint for art projects,irrelevant
deepseek_LF_13a_47,LF_13a,What happens to earth materials during deposition?,- Mineral particles are compacted by overlying layers in sedimentary basins.,Mineral particles are compacted by overlying layers in sedimentary basins,1.0
deepseek_LF_13a_122,LF_13a,What happens to earth materials during deposition?,- Earth materials are dissolved during deposition rather than being deposited as solid particles in sedimentary processes.,Earth materials are dissolved during deposition rather than being deposited as solid particles in sedimentary processes,contradictory
deepseek_LF_13a_141,LF_13a,What happens to earth materials during deposition?,"- During deposition, all earth materials undergo a gradual melting phase change, completely contradicting their original solid state presence.","During deposition, all earth materials undergo a gradual melting phase change, completely contradicting their original solid state presence",contradictory
deepseek_LF_13a_248,LF_13a,What happens to earth materials during deposition?,2. What does deposition mean again?,What does deposition mean again?,non_domain
