id,question,question_text,answer,text_clean,label
deepseek_LF_39_48,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"2. Use graph paper as your base, scaling down the squares to fit within the notebook size.  ","Use graph paper as your base, scaling down the squares to fit within the notebook size",1.0
deepseek_LF_39_52,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Enlarge one square unit of measurement over multiple squares on the actual map using a photocopier or computer software.,Enlarge one square unit of measurement over multiple squares on the actual map using a photocopier or computer software,partially_correct_incomplete
deepseek_LF_39_145,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,1. Don should use his intuition to draw a map without any measurements or planning.  ,Don should use his intuition to draw a map without any measurements or planning,contradictory
deepseek_LF_39_8,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"9. Save multiple iterations along progress as backups (e.g., digital scans, physical copies), preventing loss if one set gets damaged/lost accidentally during creation process.","Save multiple iterations along progress as backups (e.g., digital scans, physical copies), preventing loss if one set gets damaged/lost accidentally during creation process",1.0
deepseek_LF_39_151,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,2. Can you name all the planets in our solar system?,Can you name all the planets in our solar system?,irrelevant
deepseek_LF_39_165,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Explain how to incorporate cultural aspects of different houses in the drawing.,Explain how to incorporate cultural aspects of different houses in the drawing,irrelevant
deepseek_LF_39_129,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Start drawing with pen and paper before first making sure to have an accurate scale for distances already planned out mathematically beforehand.,Start drawing with pen and paper before first making sure to have an accurate scale for distances already planned out mathematically beforehand,contradictory
deepseek_LF_39_147,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,3. Draw the map using invisible ink so it is only visible under black light.  ,Draw the map using invisible ink so it is only visible under black light,contradictory
deepseek_LF_39_75,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,- Mark essential points like traffic lights or main corners with extra detail so they remain identifiable when scaled down in size.,Mark essential points like traffic lights or main corners with extra detail so they remain identifiable when scaled down in size,partially_correct_incomplete
deepseek_LF_39_66,LF_39,Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.,"- Combine different scales of graph paper to create a seamless, readable layout that fits into the notebook dimensions.","Combine different scales of graph paper to create a seamless, readable layout that fits into the notebook dimensions",partially_correct_incomplete
