id,question,question_text,answer,text_clean,label
deepseek_ME_36_178,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?","- In series, there's more resistance due to multiple connections, making bulbs dim; parallel has less overall resistance for brighter lights.","In series, there's more resistance due to multiple connections, making bulbs dim; parallel has less overall resistance for brighter lights",irrelevant
deepseek_ME_36_120,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?","- In a series circuit, resistance increases as you add components, causing the bulbs to appear dimmer compared to parallel where each bulb contributes equally to total current flow.","In a series circuit, resistance increases as you add components, causing the bulbs to appear dimmer compared to parallel where each bulb contributes equally to total current flow",contradictory
deepseek_ME_36_172,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?",* The human eye perceives intensity differently at various wavelengths rather than the actual electrical output from a circuit.,The human eye perceives intensity differently at various wavelengths rather than the actual electrical output from a circuit,irrelevant
deepseek_ME_36_157,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?","8. Bulbs might need replacement as they age, influencing the observed brightness levels.","Bulbs might need replacement as they age, influencing the observed brightness levels",irrelevant
deepseek_ME_36_198,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?",- Bulbs draw more power when connected in series due to greater voltage drop across them.,Bulbs draw more power when connected in series due to greater voltage drop across them,irrelevant
deepseek_ME_36_43,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?","- **Temperature Effects on Resistance**: Bulbs have varying internal resistance based on temperature—higher resistance in cold environments can lead to dimmer lights due to reduced current flow despite the same voltage; this doesn't affect parallel bulbs as much because they operate at constant temperatures regardless of ambient conditions, leading to brighter lighting by maintaining consistent currents across both.","Temperature Effects on Resistance**: Bulbs have varying internal resistance based on temperature—higher resistance in cold environments can lead to dimmer lights due to reduced current flow despite the same voltage; this doesn't affect parallel bulbs as much because they operate at constant temperatures regardless of ambient conditions, leading to brighter lighting by maintaining consistent currents across both",1.0
deepseek_ME_36_221,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?",- Is it possible that one bulb affects the other in series?,Is it possible that one bulb affects the other in series?,non_domain
deepseek_ME_36_79,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?","- In series circuits, current is constant throughout, which reduces brightness because the same amount of electricity passes through each component including the resistors in bulbs.","In series circuits, current is constant throughout, which reduces brightness because the same amount of electricity passes through each component including the resistors in bulbs",partially_correct_incomplete
deepseek_ME_36_75,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?",- In series circuit there's greater overall resistance affecting electrical flow reducing brightness because more energy is used up by internal resistance than parallel where current can bypass the bulb with low resistance in a second path.,In series circuit there's greater overall resistance affecting electrical flow reducing brightness because more energy is used up by internal resistance than parallel where current can bypass the bulb with low resistance in a second path,partially_correct_incomplete
deepseek_ME_36_23,ME_36,"When you build a series circuit using 2 bulbs and one D-cell, the bulbs are very dim. When you build a parallel circuit with 2 bulbs and one D-cell, the bulbs are bright. Why are the bulbs dim in series and bright in parallel?",- The heat generated within the circuit during operation affects conductivity; dimmer bulbs in a series circuit could also indicate overheating caused by excessive energy loss through resistance as they draw less power overall.,The heat generated within the circuit during operation affects conductivity; dimmer bulbs in a series circuit could also indicate overheating caused by excessive energy loss through resistance as they draw less power overall,1.0
