,id,question,question_text,text_clean,label
0,deepseek_VB_1_0,VB_1,How do you define a controlled experiment?,The key feature of a controlled experiment is that it allows for control over extraneous variables to ensure that any observed results can be attributed solely to the manipulated factor.,1.0
1,deepseek_VB_1_1,VB_1,How do you define a controlled experiment?,"A controlled experiment is when you take a group of participants and give them different types of candy to see which one they like best, completely unrelated to any science or math topic discussed in class",irrelevant
2,deepseek_VB_1_2,VB_1,How do you define a controlled experiment?,"The experiment is considered controlled if it lacks any external variables, making it impossible to detect significant effects",contradictory
3,deepseek_VB_1_3,VB_1,How do you define a controlled experiment?,"Like playing tag, but some friends always get to be 'it'! You understand what I mean?",non_domain
4,deepseek_VB_1_4,VB_1,How do you define a controlled experiment?,A controlled experiment is a scientific method where variables are manipulated by the experimenter to determine cause and effect relationships,1.0
5,deepseek_VB_1_5,VB_1,How do you define a controlled experiment?,"By definition, a controlled experiment ensures that extraneous variables are isolated and do not affect the outcome to enable accurate interpretation of results and conclusions drawn from it",1.0
6,deepseek_VB_1_6,VB_1,How do you define a controlled experiment?,It involves an experimental group that receives one variable (the treatment) while keeping all other conditions constant for a control group,1.0
7,deepseek_VB_1_7,VB_1,How do you define a controlled experiment?,A controlled experiment is when you try out different ways to study for tests with your friends and compare which way works best without getting too many distractions around,irrelevant
8,deepseek_VB_1_8,VB_1,How do you define a controlled experiment?,A controlled experiment is when you carefully measure things like temperature and pressure to see how they affect a reaction in chemistry class,irrelevant
9,deepseek_VB_1_9,VB_1,How do you define a controlled experiment?,"An experiment that has exactly two groups, with the difference being in just one variable or treatment given to each group separately",partially_correct_incomplete
10,deepseek_VB_1_10,VB_1,How do you define a controlled experiment?,It's like when we play a game where everyone has to follow certain rules.,non_domain
11,deepseek_VB_1_11,VB_1,How do you define a controlled experiment?,A controlled experiment is when you try something and then see what happens.,non_domain
12,deepseek_VB_1_12,VB_1,How do you define a controlled experiment?,Talking about laboratory safety measures,irrelevant
13,deepseek_VB_1_13,VB_1,How do you define a controlled experiment?,"A recipe for making cookies in cooking class isn’t about controlling variables, but more about baking delicious treats",irrelevant
14,deepseek_VB_1_14,VB_1,How do you define a controlled experiment?,Isn’t that something scientists use to test ideas?,non_domain
15,deepseek_VB_1_15,VB_1,How do you define a controlled experiment?,"A controlled experiment means keeping score while playing tag in PE class and making sure everyone gets equal turns being ""it"" according to strict rules set out by our teacher",irrelevant
