PromptID,AnswerText,Score,Annotation (KS),Annotation (MB),Annotation (TZ),Agree_MB_TZ,Agree_MB_KS,Agree_TZ_KS,Num_unique,Gold_annotation
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be a high pitch.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It will change by the pitch will be soft.,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True,1,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be high pitch.,contradictory,contradictory,contradictory,contradictory,True,True,True,1,contradictory
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch will change by getting lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would have a lower pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would have a lower pitch.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,It would be lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,If she did the pitch would be lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,Louder.,irrelevant,irrelevant,irrelevant,irrelevant,True,True,True,1,irrelevant
Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?,The pitch gets lower.,1.0,1.0,1.0,1.0,True,True,True,1,1.0
