id,Prompt,text_clean,Num_unique,Gold_annotation,Copied from Resolved,Label_LLM,Annotation (MB) OLD,Annotation (MB), Annotation (TZ) OLD,Annotation (TZ),Annotation (KS) OLD,Annotation (KS),Agree_MB_TZ,Agree_MB_KS,Agree_TZ_KS
deepseek_VB1_0,VB1,The key feature of a controlled experiment is that it allows for control over extraneous variables to ensure that any observed results can be attributed solely to the manipulated factor.,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_1,VB1,"A controlled experiment is when you take a group of participants and give them different types of candy to see which one they like best, completely unrelated to any science or math topic discussed in class",2,contradictory,,irrelevant,contradictory,contradictory,contradictory,contradictory,irrelevant,irrelevant,True,False,False
deepseek_VB1_2,VB1,"The experiment is considered controlled if it lacks any external variables, making it impossible to detect significant effects",2,contradictory,,contradictory,contradictory,contradictory,contradictory,contradictory,partially_correct_incomplete,partially_correct_incomplete,True,False,False
deepseek_VB1_3,VB1,"Like playing tag, but some friends always get to be 'it'! You understand what I mean?",2,non_domain,,non_domain,irrelevant,irrelevant,non_domain,non_domain,non_domain,non_domain,False,False,True
deepseek_VB1_4,VB1,A controlled experiment is a scientific method where variables are manipulated by the experimenter to determine cause and effect relationships,1,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,partially_correct_incomplete,True,True,True
deepseek_VB1_5,VB1,"By definition, a controlled experiment ensures that extraneous variables are isolated and do not affect the outcome to enable accurate interpretation of results and conclusions drawn from it",2,partially_correct_incomplete,,1.0,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,False,True,False
deepseek_VB1_6,VB1,It involves an experimental group that receives one variable (the treatment) while keeping all other conditions constant for a control group,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
deepseek_VB1_7,VB1,A controlled experiment is when you try out different ways to study for tests with your friends and compare which way works best without getting too many distractions around,1,irrelevant,T,irrelevant,partially_correct_incomplete,irrelevant,irrelevant,irrelevant,contradictory,irrelevant,True,True,True
deepseek_VB1_8,VB1,A controlled experiment is when you carefully measure things like temperature and pressure to see how they affect a reaction in chemistry class,2,contradictory,,irrelevant,partially_correct_incomplete,partially_correct_incomplete,contradictory,contradictory,contradictory,contradictory,False,False,True
deepseek_VB1_9,VB1,"An experiment that has exactly two groups, with the difference being in just one variable or treatment given to each group separately",2,1.0,,partially_correct_incomplete,1.0,1.0,partially_correct_incomplete,partially_correct_incomplete,1.0,1.0,False,True,False
deepseek_VB1_10,VB1,It's like when we play a game where everyone has to follow certain rules.,2,irrelevant,,non_domain,irrelevant,irrelevant,non_domain,non_domain,irrelevant,irrelevant,False,True,False
deepseek_VB1_11,VB1,A controlled experiment is when you try something and then see what happens.,1,irrelevant,T,non_domain,irrelevant,irrelevant,contradictory,irrelevant,partially_correct_incomplete,irrelevant,True,True,True
deepseek_VB1_12,VB1,Talking about laboratory safety measures,2,irrelevant,,irrelevant,irrelevant,irrelevant,non_domain,non_domain,irrelevant,irrelevant,False,True,False
deepseek_VB1_13,VB1,"A recipe for making cookies in cooking class isn’t about controlling variables, but more about baking delicious treats",2,irrelevant,,irrelevant,irrelevant,irrelevant,non_domain,non_domain,irrelevant,irrelevant,False,True,False
deepseek_VB1_14,VB1,Isn’t that something scientists use to test ideas?,1,non_domain,T,non_domain,irrelevant,non_domain,non_domain,non_domain,partially_correct_incomplete,non_domain,True,True,True
deepseek_VB1_15,VB1,"A controlled experiment means keeping score while playing tag in PE class and making sure everyone gets equal turns being ""it"" according to strict rules set out by our teacher",2,irrelevant,,irrelevant,irrelevant,irrelevant,contradictory,contradictory,irrelevant,irrelevant,False,True,False
